,0%,0%,0%,0%,0%,0%,0%,мг/кг,мг/кг,мг/кг,0%,мг/кг,мг/кг,мг/кг,мг/кг,мг/кг,мг/кг,Порода,,0%,0%,0%,0%,0%,0%,0%,мг/кг,мг/кг,мг/кг,0%,мг/кг,мг/кг,мг/кг,мг/кг,мг/кг,мг/кг,,
,Al,Si,P,S,Cl,K,Ca,Ti,Ba,Mn,Fe,Ni,Cu,Zn,Br,Rb,Sr,,,Al,Si,P,S,Cl,K,Ca,Ti,Ba,Mn,Fe,Ni,Cu,Zn,Br,Rb,Sr,,
5.2,"0,110201","2,655503","0,261698","0,182659","0,142294","1,66206","1,902305","117,4217","48,90224","207,6606","0,118536","4,311292","3,057201","117,627","2,766562","8,910015","38,06646",вяз,5.2,"0,213981","3,476778","0,222141","0,157372","0,517893","-0,011","5,979918","201,9072","196,6142","37,88557","0,207381","6,719359","9,950945","56,35262","4,848435","2,361684","158,2007",,
11.4,"0,059984","0,358687","0,3276","0,579026","0,166353","0,994533","5,150318","74,10442","116,1833","42,97061","0,076422","2,664915","3,662584","19,83098","2,411797","6,187111","105,7364",клён,11.4,"0,617582","2,056207","0,428552","0,375472","0,375382","1,540227","3,248447","624,6328","165,0277","117,2322","0,646051","7,004387","10,03455","243,3722","1,522838","6,907173","80,62214",,
14.4,"0,232917","2,809929","0,227252","0,289429","1,523794",<НПКО,"7,885465","233,8534","84,95146","46,76241","0,249402","3,596202","11,43815","48,29354","6,112231","4,410682","148,1684",ольха,14.4,"0,229249","1,332515","0,208713","0,220661","0,663874","1,506149","2,587292","377,9877","65,25965","69,59608","0,34604","3,27538","9,023711","71,65918","5,789143","12,17854","69,08419",,
17.1,"0,025643","0,677294","0,228409","0,406381","0,7713","3,156946","2,375766","38,9326","34,84639","47,13518","0,045872","1,939771","5,916537","243,6151","5,155997","12,5382","86,22629",вяз,17.1,"0,129225","1,791828","0,226829","0,216808","0,963625","0,794317","4,388595","147,1174","64,19369","58,19205","0,180744","5,851741","3,899316","54,69184","6,661877","3,214732","72,38327",,
17.3,"0,045232","1,438964","0,173867","0,432524","0,294497","1,616701","2,581615","48,3229","28,54553","68,34819","0,059003","1,316675",<НПКО,"483,4578","1,183509","8,62129","81,77192",тополь,17.3,"0,137747","1,86426","0,274692","0,274021","1,390572","1,512108","5,272451","123,6165","59,74764","57,67922","0,145386","2,208215","7,919411","61,65756","4,519664","4,831004","95,66056",,
21,"0,029959","0,284717","0,194169","0,241282","0,596233","2,502342","1,820441","44,56273","40,8919","18,79583","0,051065","0,783914",<НПКО,"115,5069","3,96197","22,43227","54,42618",сирень,21,"-0,10906","0,261301","0,170985","0,2406","0,638238","2,074597","2,068555","46,42233","45,42319","38,38842","0,05455","1,419025","1,99245","128,8311","3,118739","17,41781","60,60153",,
26.1,"0,028895","0,269774","0,414942","0,206266","0,155176","2,491284","0,887677","37,07437","18,08362","18,38798","0,041202","1,838627",<НПКО,"21,96946","0,495835","24,03693","21,20704",тополь,26.1,"0,053586","0,377479","0,389698","0,236095","0,366573","1,021222","2,983822","69,02434","73,34673","67,89711","0,071308","1,132088","0,259882","138,0798","2,024562","5,093719","46,32873",,
26.4,"0,06506","0,619061","0,132235","0,113364","0,061908","0,742222","1,306609","76,11105","47,66816","205,0719","0,080068","1,532782","0,463507","173,1928","4,102021","6,225799","32,75384",берёза,26.4,"0,117266","2,322267","0,162855","0,123326","0,047351","0,913846","2,025608","114,5363","63,26518","37,11374","0,117186","2,651136","-0,9015","30,44761","1,06895","6,496187","30,28495",,
32.3,"0,075099","0,954227","0,870715","0,673319","0,970372","2,115039","4,289101","64,02402","33,99083","104,411","0,069648","2,961242","12,20854","513,4827","6,955562","13,90229","170,9747",тополь,32.3,"0,06881","1,101409","0,593253","0,501848","0,773199","1,278415","3,943123","73,3403","35,07389","94,09623","0,089183","2,242669","9,868666","559,9418","8,564157","11,58585","171,1896",,
38.4,"0,067904","0,333082","0,337075","0,134932","0,140016","1,315565","0,843925","96,47063","85,96198","99,39086","0,112326","3,086718","-6,62501","153,4859","1,350251","10,88985","17,31533",берёза,38.4,"-0,09925","0,341409","0,401","0,113999","0,214203","0,982365","1,251855","91,63586","68,33575","117,3526","0,091153","4,047108","0,484431","272,5809","3,657958","4,017128","26,73926",,
39.3,"0,10305","0,494685","0,313189","0,293925","0,678691","1,672653","1,521486","130,7862","37,19084","44,37994","0,159758","1,497082",<НПКО,"32,26067","2,940147","6,158533","40,11437",вяз,39.3,"0,122104","1,171035","0,20515","0,443588","0,229913","0,24959","6,720044","111,1185","68,03898","70,09593","0,123906","3,0651","6,785989","631,2557","-0,09065","8,347297","147,9376",,
44.1,"0,073503","1,615219","0,49647","0,551862","0,396972","2,917362","2,873073","56,11032","26,37242","105,7953","0,066026","4,162363","5,454296","541,3899","17,32834","24,62319","87,59005",тополь,44.1,"0,15595","1,722859","0,479661","0,630638","0,307936","2,417283","2,708775","172,6622","46,25758","115,1528","0,204024","4,044119","7,893666","313,0122","6,699913","14,54622","51,77669",,
