№№ п/п,Наименование объектов,"Адрес, местонахождение, границы объекта","Общая площадь, кв.м",Топооснова,,GPS,
,,,,долгота,широта,долгота,широта
1,2,3,5,6,7,8,9
01.01.2014,парк Заневский,Таллинская ул -Громова ул- Гранитная ул- Малоохтинский пр,93408,,,"E 030,41613","N 59,91948"
01.02.2014,,,,,,"E 030,409114 ВГС84","N 59,921137 ВГС84"
01.03.2014,,,,,,"E 030,41463","N 59,91908"
01.04.2014,,,,,,"E 030,415143 ВГС84","N 59,918529 ВГС84"
01.05.2014,,,,,,"E 030,413974 ВГС84","N 59,918233 ВГС84"
02.01.2014,парк Малоохтинский,Республиканская ул - пр.Шаумяна- Перевозной пер-Малоохтинский пр,119805,,,"E 030,41302","N 59,93308"
02.02.2014,,,,,,"E 030,41442","N 59,93198"
02.03.2014,,,,,,"E 030,41462","N 59,93301"
02.04.2014,,,,,,"E 030,40878","N 59,93348"
02.05.2014,,,,,,"E 030,40706","N 59,93264"
03.01.2014,парк Полюстровский,Шоссе Революции-Метал-листов пр - Львовская ул-Тухачевского ул,519667,,,"E 030,43125","N 59,96466"
03.02.2014,,,,,,"E 030,42314","N 59,96459"
03.03.2014,,,,,,"E 030,42816","N 59,96717"
03.04.2014,,,,,,"E 030,43274","N 59,96073"
03.05.2014,,,,,,"E 030,42719","N 59,95977"
04.01.2014,"парк в кв.8 Ржевка Пороховые,",Передовиков пр -Косыгина по -Объездное ш.,132030,,,"E 030,27569","N 59,57163"
04.02.2014,,,,,,"E 030,27836","N 59,56540"
04.03.2014,,,,,,"E 030,27504","N 59,56484"
04.04.2014,,,,,,"E 030,27574","N 59,56572"
04.05.2014,,,,,,"E 030,26777","N 59,57226"
05.01.2014,Парк в кв.49 Ржевка -Пороховые,Передовиков пр -Энтузиастов пр-Индустриа-льный пр -Косыгина по,170460,,,"E 030,46089","N 59,94338"
05.02.2014,,,,,,"E 030,46756","N 59,94246"
05.03.2014,,,,,,"E 030,46632","N 59,94379"
05.04.2014,,,,,,"E 030,47246","N 59,94611"
05.05.2014,,,,,,"E 030,47411","N 59,94538"
06.01.2014,сад v больницы Мечникова,Пискаревский пр -Окт.ж/дорога -больница Мечникова,52270,,,"E 030,43064","N 59,98398"
06.02.2014,,,,,,"E 030,42766","N 59,98436"
06.03.2014,,,,,,"E 030,43238","N 59,98451"
06.04.2014,,,,,,"E 030,43101","N 59,98333"
06.05.2014,,,,,,"E 030,42930","N 59,98394"
07.01.2014,сад Бестужевский,Бестужевская ул -Пискаревский пр -трамвайное кольцо у б-цы Мечникова,61508,,,"E 030,42764","N 59,98172"
07.02.2014,,,,,,"E 030,42764","N 59,98302"
07.03.2014,,,,,,"E 030,42982","N 59,98254"
07.04.2014,,,,,,"E 030,42754","N 59,98095"
07.05.2014,,,,,,"E 030,42618","N 59,98131"
08.01.2014,сад Передовиков,Ириновский пр -Передовиков пр-Индустрмальный пр,219987,,,"E 030,46317","N 59,94926"
08.02.2014,,,,,,"E 030,46546","N 59,94387"
08.03.2014,,,,,,"E 030,46774","N 59,94175"
08.04.2014,,,,,,"E 030,46298","N 59,95172"
08.05.2014,,,,,,"E 030,46291","N 59,95337"
09.01.2014,сад Нева,"Ш. Революции-Среднеохтинский пр -Пискаревский пр,",83175,,,"E 030,41278","N 59,96032"
09.02.2014,,,,,,"E 030,41186","N 59,96203"
09.03.2014,,,,,,"E 030,41189","N 59,96054"
09.04.2014,,,,,,"E 030,41359","N 59,95953"
09.05.2014,,,,,,"E 030,41562","N 59,95990"
10.01.2014,сад у Ильинской церкви,Ш. Революции-Эфирная ул -река Охта,4992,,,"E 030,474673 ВГС84","N 59,965068 ВГС84"
11.01.2014,сад на углу шоссе Революции и,шоссе Революции -Коммуны ул,26607,,,"E 030,48350","N 59,96909"
11.02.2014,,,,,,"E 030,48319","N 59,96936"
11.03.2014,,,,,,"E 030,48167","N 59,96898"
11.04.2014,,,,,,"E 030,48458","N 59,96806"
11.05.2014,,,,,,"E 030,48306","N 59,96743"
12,сад на реке Охта,Шоссе Революции -о. Охта- Потапова ул,24057,,,"E 030,467423 ВГС84","N 59,963177 ВГС84"
13.01.2014,сад на улиие Эфирноной,река Охта -Эфирная ул,18067,,,"E 030,474735 ВГС84","N 59,964653 ВГС84"
13.02.2014,,,,,,"E 030,474924 ВГС84","N 59,964631 ВГС84"
13.03.2014,,,,,,"E 030,474678 ВГС84","N 59,964443 ВГС84"
13.04.2014,,,,,,"E 030,475053 ВГС84","N 59,964572 ВГС84"
13.05.2014,,,,,,"E 030,474495 ВГС84","N 59,9641314 ВГС84"
14.01.2014,бульвар Шаумяна,от Красногвардейской пл. до Гранитной ул,32750,,,"E 030,42395","N 59,92630"
14.02.2014,,,,,,"E 030,42595","N 59,92477"
14.03.2014,,,,,,"E 030,419633 ВГЗ84","N 59,928147 ВГЗ84"
14.04.2014,,,,,,"E 030,422423 ВГЗ84","N 59,925846 ВГЗ84"
14.05.2014,,,,,,"E 030,42154","N 59,92856"
15,бульвар Гранитный,от Новочеркасского пр до Громовой ул,11005,,,"E 030,42162","N 59,91888"
16,бульвар Рижский,от Новочеркасского пр до Громовой ул,9139,,,"E 030,41737","N 59,92101"
17.01.2014,бульвар Пискаревский,"от Свердловской набережной, до Непокоренных пр",78120,,,"E 030,41392","N 59,96860"
17.02.2014,,,,,,"E 030,41203","N 59,96360"
17.03.2014,,,,,,"E 030,41834","N 59,97474"
18.01.2014,бульвар Блюхера,от Пискаревского пр до Энергетиков пр,149611,,,"E 030,43235","N 59,97447"
18.02.2014,,,,,,"E 030,43359","N 59,97855"
18.03.2014,,,,,,"E 030,43698","N 59,97378"
19.01.2014,бульвар Энергетиков,от Бестужевской ул до Партизанской ул,99040,,,"E 030,57073","N 59,95629"
19.02.2014,,,,,,"E 030,63054","N 59,95673"
19.03.2014,,,,,,"E 030,43791","N 59,94446"
20.01.2014,бульвар Индустриальный,от Шоссе Революции до Ириновского пр,37161,,,"E 030,46583","N 59,95937"
20.02.2014,,,,,,"E 030,46371","N 59,96154"
20.03.2014,,,,,,"E 030,46841","N 59,95702"
21,"сквер у гостиницы 'Ладога""",Заневский пр- Шаумяна пр,4969,,,"E 030,42078","N 59,92979"
22.01.2014,сквер Весенний,Новочеркасский пр 12,12959,,,"E 030,41080","N 59,93568"
22.02.2014,,,,,,"E 030,41055","N 59,93527"
22.03.2014,,,,,,"E 030,41120","N 59,93512"
22.04.2014,,,,,,"E 030,41135","N 59,93627"
22.05.2014,,,,,,"E 030,41088","N 59,93655"
23.01.2014,"сквер у метро ""Ладожская""","Заневский пр-v метро ""Ладожская""",36225,,,"E 030,44046","N 59,93160"
23.02.2014,,,,,,"E 030,43931","N 59,93211"
23.03.2014,,,,,,"E 030,43940","N 59,93179"
23.04.2014,,,,,,"E 030,44128","N 59,93177"
23.05.2014,,,,,,"E 030,44066","N 59,93160"
24,"сквер у кинотеатра ""Охта""",угол Шаумяна пр - Заневский пр,4130,,,"E 030,42572","N 59,92002"
25.01.2014,сквер на ул. Гранитной,"от Новочеркасского пр до авто/парка Гранитная, 51",27632,,,"E 030,42572","N 59,92002"
25.02.2014,,,,,,"E 030,42606","N 59,91985"
25.03.2014,,,,,,"E 030,42836","N 59,92094"
25.04.2014,,,,,,"E 030,42936","N 59,92133"
25.05.2014,,,,,,"E 030,42987","N 59,92144"
26.01.2014,сквер у Ортопедического центра,"ул. Бестужевская ,д. 55 от Пискаревского пр до Энергетиков пр",23664,,,"E 030,43385","N 59,97776"
26.02.2014,,,,,,"E 030,43364","N 59,97858"
26.03.2014,,,,,,"E 030,43311","N 59,97799"
26.04.2014,,,,,,"E 030,43546","N 59,97809"
26.05.2014,,,,,,"E 030,43447","N 59,97747"
27.,сквер на ул. Стасовой,Стасовой ул -Буренина ул -Тухачевского ул,6045,,,"E 030,43361","N 59,96829"
28.,сквео v кинотеатоа «Ладога»,Шоссе Революции д. 31,7693,,,"E 030,43247","N 59,95987"
29.01.2014,сквер у стадиона ЛМЗ,стадион ЛМЗ- Ульянова ул- Среднеохтинскийпр-Шепетовская ул,21800,,,"E 030,41812","N 59,94798"
29.2,,,,,,"E 030,41819","N 59,94866"
29.03.2014,,,,,,"E 030,41739","N 59,94860"
29.04.2014,,,,,,"E 030,41826","N 59,94732"
29.05.2014,,,,,,"E 030,41756","N 59,94726"
30,"сквер на Среднеохтинском ,д. 50",от Шоссе Революции до Синявинской ул,560,,,"E 030,414544 ВГС84","N 59,958349 ВГС84"
31.01.2014,сквер на Свердловской набережной,Красногвардейская пл до Большеохтинского пр-река Нева,85169,,,"E 030,41073","N 59,94801"
31.2,,,,,,"E 030,41012","N 59,94841"
31.03.2014,,,,,,"E 030,41156","N 59,94822"
31.4,,,,,,"E 030,41100","N 59,94701"
31.05.2014,,,,,,"E 030,41021","N 59,94705"
32.1,сквер у дома Радио,Свердловская наб -Большеохтинский пр -Конторская ул,32184,,,"E 030,40915","N 59,94695"
32.2,,,,,,"E 030,40944","N 59,94749"
32.3,,,,,,"E 030,40922","N 59,94707"
32.4,,,,,,"E 030,40969","N 59,94670"
32.5,,,,,,"E 030,94590","N 59,94590"
33,сквер на ул.Панфилова,Б.Пороховская ул -Среднеохтинский пр -Панфилова ул,5399,,,"E 030,41652","N 59,95281"
34.1,сквео v магазина «Спорт­товары»,Красногвардейская пл-Шаумяна пр - река Охта,18334,,,"E 030,41549","N 59,94101"
34.2,,,,,,"E 030,41518","N 59,94148"
34.3,,,,,,"E 030,41445","N 59,94208"
34.4,,,,,,"E 030,41575","N 59,94501"
34.5,,,,,,"E 030,41585","N 59,94026"
35.1,сквер Ржевка,"Рябовское шоссе, ж/д платформа Ржевка",23751,,,"E 030,510210 ВГС84","N 59,984513 ВГС84"
35.2,,,,,,"E 030,508085 ВГС84","N 59,985886 ВГС84"
